#ID;#Singer;#Song;#Year;#Language
100258;Black, Roy;Schoen ist es, auf der Welt zu sein;1971;Deutsch
100259;Blaeck Foeoess;Buchping vun Heimwih;2020;Deutsch
100260;Blaeck Foeoess;Bye Bye My Love;1985;Deutsch
100261;Blaeck Foeoess;Dat Wasser vun Koelle;1983;Deutsch
100262;Blaeck Foeoess;Drink doch eine met;1974;Deutsch
100263;Blaeck Foeoess;Du (Du bes die Stadt);2008;Deutsch
100264;Blaeck Foeoess;Frankreich, Frankreich;1989;Deutsch
100265;Blaeck Foeoess;In unserem Veedel;1973;Deutsch
100266;Blaeck Foeoess;Katrin;1984;Deutsch
100267;Blaeck Foeoess;Mer Losse DR Dom In Koelle;1998;Deutsch
100268;Blaeck Foeoess;Ming eetste Fruendin;1976;Deutsch
100269;Blaeck Foeoess;Rut und Wiess;2004;Deutsch
100270;Blaeck Foeoess;Unsere Stammbaum;2000;Deutsch
100271;Blanco, Roberto;Der Puppenspieler von Mexico;1972;Deutsch
100272;Blanco, Roberto;Ein bisschen Spass muss sein;1972;Deutsch
100273;Blanco, Roberto;Heute so, morgen so;1968;Deutsch
100274;Bluemchen;Herz an Herz;1996;Deutsch
100275;Bocelli, Andrea;Vivo per lei (Ich lebe fuer sie);1997;Deutsch
100276;Boehse Onkelz;Auf gute Freunde;1996;Deutsch
100277;Boehse Onkelz;Buch der Erinnerung;1992;Deutsch
100278;Boehse Onkelz;Erinnerungen;1987;Deutsch
100279;Boehse Onkelz;Fuer immer;1993;Deutsch
100280;Boehse Onkelz;Mexico;1994;Deutsch
100281;Boehse Onkelz;Wieder mal nen Tag verschenkt;1991;Deutsch
100282;Boehse Onkelz;Wir ham noch lange nicht genug;1991;Deutsch
100283;Boerney;Was wollen wir trinken (2022 rock remix);2021;Deutsch
100284;Boettcher, Chris;10 Meter gehn;2009;Deutsch
100285;Boettcher, Gerd;Fuer gaby tu ich alles;1962;Deutsch
100286;Bonez MC;Ohne mein Team;2016;Deutsch
