#ID;#Singer;#Song;#Year;#Language
100867;Fischer, Helene;Wer will denn schon vernuenftig sein;2008;Deutsch
100868;Fischer, Helene;Wir brechen das Schweigen;2017;Deutsch
100869;Fischer, Helene;Wir zwei;2017;Deutsch
100870;Fischer, Helene;Wunder dich nicht;2013;Deutsch
100871;Fischer, Helene;Zaubermond;2008;Deutsch
100872;Fischer, Veronika;Weit uebers Meer;1995;Deutsch
100873;Fleming, Joy;Ein Lied kann eine Bruecke sein;1975;Deutsch
100874;Flippers;Aber dich gibts nur einmal fuer mich;1972;Deutsch
100875;Flippers;Bye Bye Belinda;2001;Deutsch
100876;Flippers;Die rote Sonne von Barbados;1986;Deutsch
100877;Flippers;Im heissen Sand von Rhodos;1992;Deutsch
100878;Flippers;Lotosblume;1989;Deutsch
100879;Flippers;Malaika;1987;Deutsch
100880;Flippers;Mexico;1987;Deutsch
100881;Flippers;Mona Lisa;1991;Deutsch
100882;Flippers;Schenk mir diese Nacht;1992;Deutsch
100883;Flippers;Sha La La I Love You;1970;Deutsch
100884;Flippers;Weine nicht kleine Eva;1969;Deutsch
100885;Flippers;Wir sagen Danke schoen;2009;Deutsch
100886;Flippers;Wir sagen Danke schoen (Jerome remix);2022;Deutsch
100887;Forster, Mark;194 Laender (Kegelbahn Version);2019;Deutsch
100888;Forster, Mark;194 Laender (Single Version);2019;Deutsch
100889;Forster, Mark;Au revoir;2014;Deutsch
100890;Forster, Mark;Auf dem Weg;2012;Deutsch
100891;Forster, Mark;Bauch und Kopf;2015;Deutsch
100892;Forster, Mark;Bist du Okay;2020;Deutsch
100893;Forster, Mark;Choere;2016;Deutsch
100894;Forster, Mark;Drei Uhr nachts;2021;Deutsch
100895;Forster, Mark;Einmal;2018;Deutsch
100896;Forster, Mark;Flash mich;2014;Deutsch
100897;Forster, Mark;Fluesterton;2016;Deutsch
100898;Forster, Mark;Ich trink auf dich;2015;Deutsch
100899;Forster, Mark;Ich und Du;2012;Deutsch
100900;Forster, Mark;Kogong;2017;Deutsch
100901;Forster, Mark;Liebe;2018;Deutsch
100902;Forster, Mark;Sowieso;2016;Deutsch
100903;Forster, Mark;uebermorgen;2020;Deutsch
100904;Forster, Mark;Wie frueher mal dich;2019;Deutsch
100905;Forster, Mark;Wir sind gross;2016;Deutsch
100906;Fortenbacher, Carolin;Hinterm ozean;2008;Deutsch
100907;Fox, Peter;Alles Neu;2008;Deutsch
100908;Fox, Peter;Haus Am See;2008;Deutsch
100909;Fox, Peter;Schuettel deinen speck;2008;Deutsch
100910;Fox, Peter;Schwarz zu Blau;2009;Deutsch
100911;Fox, Peter;Stadtaffe;2008;Deutsch
100912;Fox, Peter;Zukunft Pink;2022;Deutsch
100913;Francis, Connie;Barcarole in der Nacht;1960;Deutsch
100914;Francis, Connie;Jive Connie;1992;Deutsch
100915;Francis, Connie;Schoener fremder mann;1961;Deutsch
100916;Frankhauser, Jenny;Sag Ja;2021;Deutsch
100917;Fred Sonnenschein und seine Freunde;Alles Gute zum Geburtstag;1974;Deutsch
100918;Freudenberg, Ute;Auf den Daechern von Berlin;2011;Deutsch
100919;Freudenberg, Ute;Herzen kriegen keine Falten;2019;Deutsch
100920;Freudenberg, Ute;Jugendliebe;1980;Deutsch
100921;Freudenberg, Ute;Jugendliebe (2005 version);2005;Deutsch
100922;Freundeskreis;A-N-N-A;1997;Deutsch
100923;Friedel Hensch und die Cyprys;Die Fischerin vom Bodensee;1951;Deutsch
100924;Froboess, Conny;Diana;1957;Deutsch
100925;Froboess, Conny;Lady Sunshine und Mr Moon;1962;Deutsch
100926;Froboess, Conny;Zwei Kleine Italiener;1962;Deutsch
100927;Frozen (2013 film);Lass jetzt los;2013;Deutsch
100928;Frozen 2;Der naechste Schritt;2019;Deutsch
100929;Frozen 2;Es kommt zu dir;2019;Deutsch
100930;Frozen 2;So wirds immer sein;2019;Deutsch
100931;Frozen 2;Verlassen im Wald;2019;Deutsch
100932;Frozen 2;Wenn ich erst gross bin;2019;Deutsch
100933;Frozen 2;Wo noch niemand war;2019;Deutsch
100934;Frozen 2;Wo noch niemand war (Mark Forster version);2019;Deutsch
100935;Frozen 2;Zeige dich;2019;Deutsch
100936;Fulterer, Andreas;Donna Blue;2011;Deutsch
100937;Funky Marys;Du kannst nicht treu sein;2005;Deutsch
100938;Gabalier, Andreas;A Meinung haben;2015;Deutsch
100939;Gabalier, Andreas;Amoi seg ma uns wieder;2009;Deutsch
100940;Gabalier, Andreas;Bergbauernbuam;2010;Deutsch
100941;Gabalier, Andreas;Daham bin i nur bei dir;2011;Deutsch
100942;Gabalier, Andreas;Des gibts jo net;2018;Deutsch
100943;Gabalier, Andreas;Engel;2010;Deutsch
100944;Gabalier, Andreas;Ewig;2018;Deutsch
100945;Gabalier, Andreas;Fuer mich bist du schoen;2012;Deutsch
100946;Gabalier, Andreas;Hallihallo;2018;Deutsch
100947;Gabalier, Andreas;Hulapalu;2015;Deutsch
100948;Gabalier, Andreas;Hulapalu (Harris und Ford Radio Edit);2016;Deutsch
100949;Gabalier, Andreas;I sing a liad fuer di;2010;Deutsch
100950;Gabalier, Andreas;Liebeleben;2021;Deutsch
100951;Gabalier, Andreas;Mit dir;2008;Deutsch
100952;Gabalier, Andreas;Sie;2011;Deutsch
100953;Gabalier, Andreas;So liab hob i di;2009;Deutsch
100954;Gabalier, Andreas;Superstar;2023;Deutsch
100955;Gabalier, Andreas;Verdammt lang her;2018;Deutsch
100956;Gabalier, Andreas;Vergiss die Heimat nie;2018;Deutsch
100957;Gabalier, Andreas;Verliebt verliebt;2015;Deutsch
100958;Gabalier, Andreas;Volks RocknRoller;2011;Deutsch
100959;Gabriel, Gunter;Hey Boss, ich brauch mehr Geld;1974;Deutsch
100960;Gabriel, Gunter;Komm unter meine Decke;1975;Deutsch
100961;Gaensehaut;Karl der Kaefer;1983;Deutsch
100962;Gall, France;A Banda (Zwei Apfelsinen Im Haar);1968;Deutsch
100963;Gall, France;Ein bisschen Goethe, ein bisschen Bonaparte;1969;Deutsch
100964;Ganz Schoen Feist;Du willst immer nur ficken;2009;Deutsch
100965;Gebrueder Blattschuss;Kreuzberger Naechte;1978;Deutsch
100966;Geier Sturzflug;Besuchen Sie Europa (solange es noch steht);1983;Deutsch
100967;Geier Sturzflug;Bruttosozialprodukt;1982;Deutsch
100968;Geier Sturzflug;Pure Lust Am Leben;1984;Deutsch
100969;Gelee, Jack;Sie ist vorne gut gebaut (Alles nur geklaut);2018;Deutsch
100970;Gemba, Nico;Der letzte fox;2007;Deutsch
100971;Gerard, Danyel;Butterfly (deutsche version);1971;Deutsch
100972;Geri Der Klostertaler;Die haende hoch;2014;Deutsch
100973;German Nursery Rhyme;Bruder Jakob;1700;Deutsch
100974;German Nursery Rhyme;Heho spann den Wagen an;1950;Deutsch
100975;Gestoert aber GeiL;Ich und du;2015;Deutsch
100976;Gestoert aber GeiL;Ich und du (SPYZR Remix);2015;Deutsch
100977;Gestoert aber GeiL;Millionen Farben;2017;Deutsch
100978;Gestoert aber GeiL;Unter meiner haut;2015;Deutsch
100979;Gestoert aber GeiL;Vielleicht;2019;Deutsch
100980;Gestoert aber GeiL;Wohin willst du;2017;Deutsch
100981;Giesinger, Max;80 Millionen;2016;Deutsch
100982;Giesinger, Max;Auf das, was da noch kommt;2019;Deutsch
100983;Giesinger, Max;Die Reise;2018;Deutsch
100984;Giesinger, Max;Irgendwann ist jetzt;2021;Deutsch
100985;Giesinger, Max;Legenden;2018;Deutsch
100986;Giesinger, Max;Nicht so schnell;2016;Deutsch
100987;Giesinger, Max;Roulette;2016;Deutsch
100988;Giesinger, Max;Wenn sie tanzt;2016;Deutsch
100989;Giesinger, Max;Zuhause;2018;Deutsch
100990;Gildo, Rex;Der letzte Sirtaki;1975;Deutsch
100991;Gildo, Rex;Du, wenn ich je Deine Liebe verlier;1981;Deutsch
100992;Gildo, Rex;Fiesta Mexicana;1972;Deutsch
100993;Gildo, Rex;Marie der letzte tanz ist nur fuer dich;1974;Deutsch
100994;Gitti und Erica;Heidi;1977;Deutsch
100995;Glashaus;Von guten Maechten;2009;Deutsch
100996;Glashaus;Wenn das Liebe ist;2001;Deutsch
100997;Glasperlenspiel;Echt;2011;Deutsch
100998;Glasperlenspiel;Freundschaft;2012;Deutsch
100999;Glasperlenspiel;Geiles Leben;2015;Deutsch
101000;Glasperlenspiel;Ich bin ich;2012;Deutsch
101001;Glasperlenspiel;Nie vergessen;2013;Deutsch
101002;Glasperlenspiel;Royals und Kings;2018;Deutsch
101003;Gold, Frida;Liebe ist meine Rebellion;2013;Deutsch
101004;Gold, Frida;Wovon sollen wir traeumen;2011;Deutsch
101005;Gold, Frida;Zeig mir wie du tanzt;2010;Deutsch
101006;Goldried Quintett;Der Paul und sein Gaul;1989;Deutsch
101007;Gott, Karel;Babicka;1979;Deutsch
101008;Gott, Karel;Die Biene Maja;1975;Deutsch
101009;Gott, Karel;Eine Liebe ist viele Traenen wert;1980;Deutsch
101010;Gott, Karel;Fang das Licht;1985;Deutsch
101011;Gott, Karel;Fang das Licht (single version);2009;Deutsch
101012;Gott, Karel;Fang das Licht (Stereoact remix);2020;Deutsch
101013;Gott, Karel;Fuer immer jung;1999;Deutsch
101014;Gott, Karel;Geh nicht vorbei;1984;Deutsch
101015;Gott, Karel;Jede nacht;2002;Deutsch
101016;Gott, Karel;Zeit zu gehn;1998;Deutsch
101017;Granata, Rocco;Buona notte bambino;1963;Deutsch
101018;Grauzone;Eisbaer;1981;Deutsch
101019;Groenemeyer, Herbert;Alkohol;1984;Deutsch
101020;Groenemeyer, Herbert;Bochum;1984;Deutsch
101021;Groenemeyer, Herbert;Currywurst;1982;Deutsch
101022;Groenemeyer, Herbert;Der Weg;2002;Deutsch
101023;Groenemeyer, Herbert;Fang mich an;2014;Deutsch
101024;Groenemeyer, Herbert;Flugzeuge im Bauch;1984;Deutsch
101025;Groenemeyer, Herbert;Halt mich;1988;Deutsch
101026;Groenemeyer, Herbert;Kinder an die Macht;1986;Deutsch
101027;Groenemeyer, Herbert;Maenner;1984;Deutsch
101028;Groenemeyer, Herbert;Mambo;1984;Deutsch
101029;Groenemeyer, Herbert;Mensch;2002;Deutsch
101030;Groenemeyer, Herbert;Morgen;2014;Deutsch
101031;Groenemeyer, Herbert;Musik Nur, Wenn Sie Laut Ist;1983;Deutsch
101032;Groenemeyer, Herbert;Sekundenglueck;2018;Deutsch
101033;Groenemeyer, Herbert;Vollmond;1988;Deutsch
101034;Groenemeyer, Herbert;Was Soll Das;1988;Deutsch
101035;Grosch, Mike Leon;Dann geht es dir genau wie mir;2021;Deutsch
101036;Grosch, Mike Leon;Nicht mal eine Stunde;2020;Deutsch
101037;Grosch, Mike Leon;Tausend Melodien;2021;Deutsch
101038;Grosch, Mike Leon;Wunderschoen;2020;Deutsch
101039;Grubertaler;Cordula Gruen;2018;Deutsch
101040;Gruttmann, Joy;Schnappi, das kleine Krokodil;2004;Deutsch
101041;Haak, Nico;Schmidtchen Schleicher;1975;Deutsch
101042;Hagen, Nina;Du hast den Farbfilm vergessen;1974;Deutsch
101043;Haindling;Lang scho nimmer gsehn;1984;Deutsch
101044;Hall, Kate;Bedingungslos;2007;Deutsch
101045;Haller, Hanne;Weil du ein zaertlicher Mann bist;1981;Deutsch
101046;Hallervorden, Didi;Du, die Wanne ist voll;1978;Deutsch
101047;Hardy und Heroes;Im Osten geboren;2019;Deutsch
101048;Hartz, Hans;Die weissen Tauben sind muede;1982;Deutsch
101049;Harvey, Lilian;Ich Tanze Mit Dir In Den Himmel Hinein;1937;Deutsch
101050;Hazy Osterwald Sextett;Kriminaltango;1959;Deutsch
101051;Heino;Bergvagabunden;1968;Deutsch
101052;Heino;Blau blueht der Enzian;1973;Deutsch
101053;Heino;Das Kufsteinlied;1976;Deutsch
101054;Heino;Die schwarze Barbara;1974;Deutsch
101055;Heino;Hit-Medley;2004;Deutsch
101056;Heino;Hoch auf dem gelben Wagen;1972;Deutsch
101057;Heino;Ja, ja die Katja, die hat ja;1981;Deutsch
101058;Heino;Junge;2013;Deutsch
101059;Heino;Karamba, Karacho, ein Whisky;1969;Deutsch
101060;Heino;Mohikana Shalali;1971;Deutsch
101061;Heino;Rosamunde;1973;Deutsch
101062;Heino;Schneewalzer;1973;Deutsch
101063;Henning, Gitte;Etwas ist geschehen;1981;Deutsch
101064;Henning, Gitte;Freu dich bloss nicht zu frueh;1980;Deutsch
101065;Henning, Gitte;Ich Will Alles;1982;Deutsch
101066;Henning, Gitte;Ich Will Nen Cowboy Als Mann;1963;Deutsch
101067;Henning, Gitte;Lampenfieber;1983;Deutsch
101068;Henning, Gitte;So schoen kann doch kein Mann sein;1974;Deutsch
101069;Henning, Olaf;13 Tage;2010;Deutsch
101070;Henning, Olaf;Cowboy Und Indianer;2009;Deutsch
101071;Henning, Olaf;Die Manege Ist Leer;2001;Deutsch
101072;Henry Valentino And Uschi;Im Wagen Vor Mir;1977;Deutsch
101073;Herren, Willi;Ich war noch niemals in New York;2010;Deutsch
101074;Herzchen;Mein kind;2020;Deutsch
101075;Hesse, Linda;Ich bin ja kein Mann;2012;Deutsch
101076;Hias, Riegler;Gloana Bauer;2016;Deutsch
101077;Hill, Jonny;Ruf Teddybaer 1-4;1985;Deutsch
101078;Hinterm Horizont;Hinterm Horizont gehts weiter;2011;Deutsch
101079;Hinterm Horizont;Ich lieb dich ueberhaupt nicht mehr;2011;Deutsch
101080;Hinterseer, Hansi;Haende Zum Himmel (Partymix);2004;Deutsch
101081;Hinterseer, Hansi;Viva Tirol;2009;Deutsch
101082;Hoehner;Alles was ich will;2004;Deutsch
101083;Hoehner;Blootwoosch, Koelsch un e lecker Maedche;1978;Deutsch
101084;Hoehner;Der liebe Gott weiss, dass ich kein Engel bin;1999;Deutsch
101085;Hoehner;Dicke Maedchen haben schoene Namen;2001;Deutsch
101086;Hoehner;Die Karawane Zieht Weiter Dae Sultan Haet Doosch!;1998;Deutsch
101087;Hoehner;E Levve lang;2014;Deutsch
101088;Hoehner;Echte Fruende;1997;Deutsch
101089;Hoehner;Hey Koelle;1978;Deutsch
101090;Hoehner;Jetzt gehts los;1998;Deutsch
101091;Hoehner;Pizza Wundaba;1987;Deutsch
101092;Hoehner;Prinzessin;2022;Deutsch
101093;Hoehner;Schenk mir dein Herz;2009;Deutsch
101094;Hoehner;Steh auf, mach laut!;2014;Deutsch
101095;Hoehner;uevverall op der Welt jitt et Koelsche;2009;Deutsch
101096;Hoehner;Viva Colonia;2006;Deutsch
101097;Hoehner;Wenn Nicht Jetzt, Wann Dann?;2006;Deutsch
101098;Hoehner;Wir halten die Welt an;2018;Deutsch
101099;Hofer, Polo;Alperose;1985;Deutsch
101100;Hoffmann und Hoffmann;Alles, was ich brauche, bist du;1979;Deutsch
101101;Hoffmann und Hoffmann;Himbeereis Zum Fruehstueck;1977;Deutsch
101102;Hoffmann und Hoffmann;Ruecksicht;1983;Deutsch
101103;Holiday, Tony;Tanze Samba mit mir;1977;Deutsch
101104;Holm, Michael;Baby, du bist nicht alleine;1973;Deutsch
101105;Holm, Michael;Barfuss im Regen;1970;Deutsch
101106;Holm, Michael;El Lute;1979;Deutsch
101107;Holm, Michael;Lucille;1977;Deutsch
101108;Holm, Michael;Mendocino;1969;Deutsch
101109;Holm, Michael;Traenen Luegen Nicht;1974;Deutsch
101110;Holstuonarmusigbigbandclub;Vo mello bis ge schoppornou;2010;Deutsch
101111;Honk!;Anna-Lena;2019;Deutsch
101112;Honk!;Delfin;2023;Deutsch
101113;Horn, Guildo;Wunder gibt es immer wieder;1997;Deutsch
101114;Hueftgold, Ikke;Bumsbar;2023;Deutsch
101115;Hueftgold, Ikke;Dicke titten kartoffelsalat;2014;Deutsch
101116;Hueftgold, Ikke;Ich schwanke noch;2021;Deutsch
101117;Hueftgold, Ikke;Modeste Song;2017;Deutsch
101118;Hueftgold, Ikke;Rapunzel;2022;Deutsch
101119;Ibo;Bungalow in Santa Nirgendwo;1986;Deutsch
101120;Ibo;Ibiza;1985;Deutsch
101121;Ibo;Schwarze Rose;2000;Deutsch
101122;Ibo;Spieglein, spieglein an der wand;1991;Deutsch
101123;Ibo;Suesses blut;1986;Deutsch
101124;Ich + Ich;Du Erinnerst Mich An Liebe;2005;Deutsch
101125;Ich + Ich;Einer von Zweien;2009;Deutsch
101126;Ich + Ich;Mach dein Licht an;2007;Deutsch
101127;Ich + Ich;Pflaster;2009;Deutsch
101128;Ich + Ich;So soll es bleiben;2008;Deutsch
101129;Ich + Ich;Stark;2007;Deutsch
101130;Ich + Ich;Universum;2010;Deutsch
101131;Ich + Ich;Vom Selben Stern;2007;Deutsch
101132;Ich + Ich;Wo die liebe hinfaellt;2005;Deutsch
101133;Ich war noch niemals in New York;Ein ehrenwertes Haus;2008;Deutsch
101134;Ich war noch niemals in New York;Griechischer Wein;2008;Deutsch
101135;Ideal;Blaue Augen;1980;Deutsch
101136;Ideal;Eiszeit;1981;Deutsch
101137;Illic, Bata;Candida;1970;Deutsch
101138;Illic, Bata;Ich hab noch Sand in den Schuhn aus Hawaii;1975;Deutsch
101139;Illic, Bata;Ich moecht der Knopf an deiner Bluse sein;1976;Deutsch
101140;Illic, Bata;Judy, I Love You;1971;Deutsch
101141;Illic, Bata;Michaela;1972;Deutsch
101142;Illic, Bata;Mit verbundenen Augen;1968;Deutsch
101143;Illic, Bata;Schwarze Madonna;1973;Deutsch
101144;Illic, Bata;Wie ein Liebeslied;2008;Deutsch
101145;Inga und Wolf;Gute Nacht Freunde;1972;Deutsch
101146;Ingo ohne Flamingo;Saufen, Morgens, Mittags, Abends;2017;Deutsch
101147;Jackson, Wanda;Santo Domingo;1967;Deutsch
101148;Jaehn, Felix;Jeder fuer jeden;2016;Deutsch
101149;JBO;Heut ist ein guter Tag zum Sterben;2005;Deutsch
101150;JBO;Ich moecht so gerne Metal hoern;2000;Deutsch
101151;JBO;Mei Alde is im Playboy drin;1996;Deutsch
101152;Jeremias (band);Gruene augen luegen nicht;2019;Deutsch
101153;Jones, Jupiter;Still;2011;Deutsch
101154;Jordan, Mario;Welch ein Tag;1992;Deutsch
101155;Jordi, Francine;Voyage voyage;2021;Deutsch
101156;Joris;Bis ans ende der Welt;2015;Deutsch
101157;Joris;Herz ueber Kopf;2015;Deutsch
101158;Joris;Nur die Musik;2020;Deutsch
101159;Joris;Signal;2018;Deutsch
101160;Joris;Sommerregen;2015;Deutsch
101161;Josh;Expresso und Tschianti;2021;Deutsch
101162;Joy, Florence;Mein Ziel (live);2006;Deutsch
101163;Juergens, Andrea;Japanese Boy;1981;Deutsch
101164;Juergens, Andrea;Playa Blanca;1982;Deutsch
101165;Juergens, Curd;60 Jahre Und Kein Bisschen Weise;1975;Deutsch
101166;Juergens, Udo;5 minuten vor 12;1982;Deutsch
101167;Juergens, Udo;Aber Bitte Mit Sahne;1976;Deutsch
101168;Juergens, Udo;Anuschka;1969;Deutsch
101169;Juergens, Udo;Bleib doch bis zum Fruehstueck;1982;Deutsch
101170;Juergens, Udo;Buenos Dias Argentina;1978;Deutsch
101171;Juergens, Udo;Das ist dein Tag;1994;Deutsch
101172;Juergens, Udo;Der Erste Sahne Mix;1997;Deutsch
101173;Juergens, Udo;Der gekaufte Drachen;1981;Deutsch
101174;Juergens, Udo;Die Sonne Und Du;1983;Deutsch
101175;Juergens, Udo;Ein ehrenwertes Haus;1975;Deutsch
101176;Juergens, Udo;Ein ehrenwertes Haus (Version 2000);2000;Deutsch
101177;Juergens, Udo;Gaeb es nur noch dieses Lied fuer mich;2006;Deutsch
101178;Juergens, Udo;Griechischer Wein;1974;Deutsch
101179;Juergens, Udo;Heute beginnt der Rest deines Lebens;1995;Deutsch
101180;Juergens, Udo;Ich war noch niemals in New York;1982;Deutsch
101181;Juergens, Udo;Ich weiss, was ich will;1979;Deutsch
101182;Juergens, Udo;Ich will, ich kann (I Can, I Will);1986;Deutsch
101183;Juergens, Udo;Ich wuerd es wieder tun;1982;Deutsch
101184;Juergens, Udo;Immer wieder geht die Sonne auf;1967;Deutsch
101185;Juergens, Udo;Liebe Ohne Leiden;1994;Deutsch
101186;Juergens, Udo;Merci Cherie;1966;Deutsch
101187;Juergens, Udo;Mit 66 Jahren;1992;Deutsch
101188;Juergens, Udo;Paris, einfach so nur zum Spass;1980;Deutsch
101189;Juergens, Udo;Rhodos im regen;1979;Deutsch
101190;Juergens, Udo;Sag ihr, ich lass sie gruessen;1998;Deutsch
101191;Juergens, Udo;Siebzehn Jahr, blondes Haar;1965;Deutsch
101192;Juergens, Udo;Tausend Jahre sind ein Tag;1980;Deutsch
101193;Juergens, Udo;Vielen Dank Fuer Die Blumen;1994;Deutsch
101194;Juergens, Udo;Warum nur, warum;1964;Deutsch
101195;Juergens, Udo;Was ich Dir sagen will;1967;Deutsch
101196;Juergens, Udo;Was wichtig ist;2000;Deutsch
101197;Juergens, Udo;Wir sind schon auf dem Brenner;1990;Deutsch
101198;Juergens, Udo;Zeig mir den Platz an der Sonne;1971;Deutsch
101199;Juhnke, Harald;So leb dein Leben (My Way);1989;Deutsch
101200;JuJu;Vermissen;2019;Deutsch
101201;Jule Neigel Band;Schatten an der Wand;1988;Deutsch
101202;Juli;Dieses Leben;2006;Deutsch
101203;Juli;Elektrisches Gefuehl;2010;Deutsch
101204;Juli;Fahrrad;2019;Deutsch
101205;Juli;Geile Zeit;2004;Deutsch
101206;Juli;Perfekte Welle;2004;Deutsch
101207;Juli;Regen und Meer;2005;Deutsch
101208;Jung, Claudia;Alles was ich brauche bist du;2015;Deutsch
101209;Jung, Claudia;Du, ich lieb Dich;1992;Deutsch
101210;Jung, Claudia;Je taime mon amour;1994;Deutsch
101211;Jung, Claudia;Komm und tanz ein letztes mal mit mir;1994;Deutsch
101212;Jung, Claudia;Mittenrein ins Glueck;2003;Deutsch
101213;Jung, Claudia;Tausend Frauen;2009;Deutsch
101214;jungen Klostertaler;Koa Hiatamadl;1993;Deutsch
101215;Jungen Zillertaler;Dem Land Tirol die Treue;2005;Deutsch
101216;Kah, Hubert;Engel 07;1984;Deutsch
101217;Kah, Hubert;Rosemarie;1982;Deutsch
101218;Kah, Hubert;Sternenhimmel;1982;Deutsch
101219;Kah, Hubert;Wenn Der Mond Die Sonne Beruehrt;1984;Deutsch
101220;Kaiser, Roland;Amore mio;1978;Deutsch
101221;Kaiser, Roland;Amore, Amore;1985;Deutsch
101222;Kaiser, Roland;Bis zum naechsten Mal;1988;Deutsch
101223;Kaiser, Roland;Das Beste am Leben;2016;Deutsch
101224;Kaiser, Roland;Das Beste am Leben (Club Mix);2017;Deutsch
101225;Kaiser, Roland;Das Beste am Leben (Pop Mix);2017;Deutsch
101226;Kaiser, Roland;Der Hit Mix;1997;Deutsch
101227;Kaiser, Roland;Dich Zu Lieben;1981;Deutsch
101228;Kaiser, Roland;Dich zu lieben (2017);2017;Deutsch
101229;Kaiser, Roland;Die Gefuehle sind frei;1983;Deutsch
101230;Kaiser, Roland;Du, deine Freundin und ich;2022;Deutsch
101231;Kaiser, Roland;Es ist alles ok;2022;Deutsch
101232;Kaiser, Roland;Es kann der froemmste nicht in frieden leben;1984;Deutsch
101233;Kaiser, Roland;Extreme;1998;Deutsch
101234;Kaiser, Roland;Extreme (2017);2017;Deutsch
101235;Kaiser, Roland;Extreme (Stereoact remix);2021;Deutsch
101236;Kaiser, Roland;Flieg mit mir zu den Sternen;1984;Deutsch
101237;Kaiser, Roland;Gegen die Liebe kommt man nicht an;2022;Deutsch
101238;Kaiser, Roland;Gegen die Zeit;2020;Deutsch
101239;Kaiser, Roland;Gut, dass ihr da seid;2023;Deutsch
101240;Kaiser, Roland;Halt mich noch einmal fest;2016;Deutsch
101241;Kaiser, Roland;Haut an haut;1987;Deutsch
101242;Kaiser, Roland;Hit Medley (live 2020);2020;Deutsch
101243;Kaiser, Roland;Ich fege die Sterne zusammen;2014;Deutsch
101244;Kaiser, Roland;Ich Glaub Es Geht Schon Wieder Los;1988;Deutsch
101245;Kaiser, Roland;Ich glaub es geht schon wieder los (2017);2017;Deutsch
101246;Kaiser, Roland;Ich hab dich 1000 Mal geliebt;1999;Deutsch
101247;Kaiser, Roland;Im 5 Element;1989;Deutsch
101248;Kaiser, Roland;Jede Nacht hat deine Augen;1989;Deutsch
101249;Kaiser, Roland;Joana;1984;Deutsch
101250;Kaiser, Roland;Joana (2017);2017;Deutsch
101251;Kaiser, Roland;Kein grund zu bleiben;2019;Deutsch
101252;Kaiser, Roland;Kein Problem;2016;Deutsch
101253;Kaiser, Roland;Kurios;2019;Deutsch
101254;Kaiser, Roland;Lang nicht mehr gemacht;2020;Deutsch
101255;Kaiser, Roland;Lieb mich ein letztes Mal;1981;Deutsch
101256;Kaiser, Roland;Liebe kann uns retten;2019;Deutsch
101257;Kaiser, Roland;Manchmal Moechte Ich Schon Mit Dir;1983;Deutsch
101258;Kaiser, Roland;Manchmal moechte ich schon mit dir (2017);2017;Deutsch
101259;Kaiser, Roland;Midnight Lady (Einsam so wie ich);1986;Deutsch
101260;Kaiser, Roland;Sag bloss nicht Hello;2014;Deutsch
101261;Kaiser, Roland;Sag ihm dass ich dich liebe (2017);2017;Deutsch
101262;Kaiser, Roland;Sag ihm, dass ich Dich liebe;1996;Deutsch
101263;Kaiser, Roland;Sag mir wann;2022;Deutsch
101264;Kaiser, Roland;Santa Maria;1984;Deutsch
101265;Kaiser, Roland;Schach matt;1979;Deutsch
101266;Kaiser, Roland;Schach matt (2017);2017;Deutsch
101267;Kaiser, Roland;Sieben Faesser Wein;1977;Deutsch
101268;Kaiser, Roland;Stark;2019;Deutsch
101269;Kaiser, Roland;Suedlich Von Mir;1992;Deutsch
101270;Kaiser, Roland;Viva lamor;1990;Deutsch
101271;Kaiser, Roland;Warum hast du nicht nein gesagt;2014;Deutsch
101272;Kaiser, Roland;Warum hast du nicht nein gesagt (2020);2020;Deutsch
101273;Kaiser, Roland;Wind auf der Haut und Lisa;1991;Deutsch
101274;Kaiser, Roland;Wir gehn durch die Zeit;2017;Deutsch
101275;Kaiser, Roland;Wohin Gehst Du;1982;Deutsch
101276;Kaiser, Roland;ZDF-Hitparaden-Medley 2021;2021;Deutsch
101277;Kaiser, Roland;Zuversicht;2022;Deutsch
101278;Karat;Der blaue Planet;1981;Deutsch
101279;Karat;Jede Stunde;1982;Deutsch
101280;Karat;Schwanenkoenig;1980;Deutsch
101281;Karat;ueber sieben Bruecken;1979;Deutsch
101282;Karussell;Als ich fortging;1987;Deutsch
101283;Kasalla;Alle Jlaeser huh;2015;Deutsch
101284;Kasalla;Pirate;2011;Deutsch
101285;Kasalla;Pommes un Champagner;2019;Deutsch
101286;Kasalla;Stadt met K;2015;Deutsch
101287;Kastelruther Spatzen;Der rote diamant;1993;Deutsch
101288;Kastelruther Spatzen;Eine weisse Rose;1992;Deutsch
101289;Kastelruther Spatzen;Ich schwoer;1997;Deutsch
101290;Kastelruther Spatzen;Schatten ueberm Rosenhof;1992;Deutsch
101291;Keimzeit;Kling Klang;1993;Deutsch
101292;Keller, Mitch;Steh auf, wenn Du faellst (I Promised Myself);2021;Deutsch
101293;Kelly, Maite;Dass es uns noch gibt;2019;Deutsch
101294;Kelly, Maite;Die Liebe siegt sowieso;2018;Deutsch
101295;Kelly, Maite;Einfach Hello!;2021;Deutsch
101296;Kelly, Maite;Es war noch nie so schoen;2016;Deutsch
101297;Kelly, Maite;Fuer Gefuehle kann man nichts;2021;Deutsch
101298;Kelly, Maite;Heute Nacht fuer immer;2018;Deutsch
101299;Kelly, Maite;Ich brauch einen Mann;2023;Deutsch
101300;Kelly, Maite;Ich dreh mich nie wieder um;2018;Deutsch
101301;Kelly, Maite;Ich steh dazu;2021;Deutsch
101302;Kelly, Maite;Jetzt oder nie;2016;Deutsch
